body_temperature,breed_type,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,faecal_consistency,health_status
40.3,Cross Breed,10.1,19,5004,7.2,5,44,1.8,16.4,3.2,3,Fresh blood in faeces,unhealthy
38.6,Cross Breed,14.3,26,11678,3.7,2,57,2.3,14.0,4.5,2,Fresh blood in faeces,unhealthy
39.4,Cross Breed,13.2,14,5282,6.4,2,52,1.8,16.4,3.2,3,ideal,unhealthy
39.7,Cross Breed,12.1,31,5236,6.8,3,53,1.4,16.3,5.3,3,extremely firm,unhealthy
40.2,Cross Breed,6.7,23,5004,7.2,5,49,1.9,15.4,3.4,3,very liquid faeces,unhealthy
39.6,Normal Breed,12.5,21,5004,6.6,3,52,1.3,16.4,3.1,1,very liquid faeces,unhealthy
38.4,Cross Breed,13.9,30,12251,4.4,2,68,3.4,12.7,5.4,3,ideal,healthy
39.6,Normal Breed,12.5,23,5004,6.6,2,44,1.3,15.6,3.0,2,ideal,unhealthy
38.1,Normal Breed,11.6,24,11435,3.3,2,76,2.0,12.8,5.7,3,ideal,healthy
38.4,Normal Breed,26.5,31,11047,5.0,2,80,3.0,14.7,5.7,3,ideal,healthy
40.1,Cross Breed,9.5,14,5004,7.0,2,45,1.7,16.4,4.1,2,Fresh blood in faeces,unhealthy
40.4,Normal Breed,14.0,21,5004,7.2,1,54,1.3,16.1,6.4,2,Black faeces,unhealthy
38.0,Normal Breed,5.1,14,5199,3.5,2,83,2.8,15.0,6.2,2,ideal,healthy
40.1,Cross Breed,5.1,14,5004,7.2,2,43,2.5,16.4,3.0,2,Fresh blood in faeces,unhealthy
39.8,Normal Breed,11.7,14,5004,7.2,2,50,1.4,16.0,3.0,2,extremely firm,unhealthy
39.5,Cross Breed,5.1,14,5004,7.2,5,50,2.6,15.4,3.9,3,extremely firm,unhealthy
40.1,Normal Breed,14.7,17,5004,7.0,2,51,1.3,15.7,3.8,3,extremely firm,healthy
39.5,Cross Breed,9.5,14,11508,7.2,5,46,1.4,14.5,3.0,3,very liquid faeces,unhealthy
38.4,Normal Breed,15.6,44,12280,4.1,5,83,2.2,13.3,6.8,3,ideal,healthy
39.1,Cross Breed,11.4,21,11624,6.9,5,50,2.0,13.8,3.9,2,very liquid faeces,unhealthy
38.3,Normal Breed,23.7,41,11612,3.8,2,83,2.8,14.4,5.9,1,ideal,healthy
39.9,Normal Breed,12.0,16,5004,7.1,5,44,2.2,16.2,6.2,3,Black faeces,unhealthy
40.5,Normal Breed,12.7,24,5004,3.6,2,54,2.4,14.1,3.2,2,extremely firm,unhealthy
40.3,Cross Breed,15.4,20,5004,7.2,2,47,2.3,14.7,4.7,4,very liquid faeces,healthy
38.1,Normal Breed,18.5,47,11753,4.4,3,83,3.3,14.0,5.6,3,ideal,healthy
38.6,Cross Breed,15.5,26,12546,4.4,3,60,2.4,14.0,4.9,4,Fresh blood in faeces,healthy
38.1,Cross Breed,10.2,24,11154,4.9,2,45,3.9,13.8,5.4,3,Fresh blood in faeces,unhealthy
39.6,Normal Breed,7.9,14,5939,6.6,5,49,1.9,15.3,3.0,3,ideal,unhealthy
38.1,Normal Breed,21.4,29,11800,2.8,5,83,3.1,13.3,6.5,4,ideal,healthy
39.8,Cross Breed,8.2,26,12332,6.9,5,52,1.9,16.4,3.0,2,very liquid faeces,unhealthy
38.9,Normal Breed,26.2,36,12205,4.4,5,60,3.9,13.1,6.0,4,ideal,healthy
39.6,Cross Breed,7.5,14,5004,7.2,2,42,1.3,16.3,4.1,3,extremely firm,unhealthy
38.6,Cross Breed,15.9,31,11522,3.3,2,56,3.0,12.6,4.2,2,ideal,healthy
39.4,Normal Breed,12.1,24,6518,6.0,5,46,1.3,16.2,3.2,1,ideal,unhealthy
40.4,Cross Breed,5.1,17,5004,7.0,2,48,2.0,15.5,5.6,3,extremely firm,unhealthy
40.1,Normal Breed,5.1,27,5004,7.2,3,44,1.3,16.2,3.0,2,extremely firm,unhealthy
39.7,Normal Breed,18.4,14,5004,7.2,3,43,1.4,16.1,6.2,4,extremely firm,unhealthy
40.0,Cross Breed,5.7,14,5004,6.9,5,53,1.3,16.4,3.5,1,Fresh blood in faeces,unhealthy
38.4,Normal Breed,15.8,19,5004,3.5,5,43,3.1,14.3,4.3,2,ideal,unhealthy
39.6,Normal Breed,13.7,14,5028,7.1,5,54,1.7,16.4,5.7,3,extremely firm,unhealthy
38.6,Normal Breed,24.3,32,11396,4.7,3,72,2.8,13.3,7.0,3,ideal,healthy
39.3,Normal Breed,22.3,18,5236,6.9,5,55,1.5,16.4,3.0,3,very liquid faeces,unhealthy
39.6,Cross Breed,5.7,14,5004,7.2,2,49,1.3,16.4,3.5,3,extremely firm,unhealthy
40.3,Cross Breed,7.6,18,5004,7.1,3,50,1.3,16.0,3.0,2,Fresh blood in faeces,unhealthy
38.6,Normal Breed,13.3,30,11262,3.4,3,71,1.6,12.7,4.7,4,ideal,healthy
39.6,Normal Breed,12.8,14,5004,7.2,3,55,2.0,15.6,4.3,2,extremely firm,unhealthy
